reactants,product
Cc1ccc(C)c(Br)c1.C=CCN.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],C=CCNc1cc(C)ccc1C
N#Cc1ccc(Br)cc1.NCc1ccccc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],N#Cc1ccc(NCc2ccccc2)cc1
CC(=O)c1ccc(Br)cc1.Cc1ccc(N)cc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)c1ccc(Nc2ccc(C)cc2)cc1
COC(=O)c1ccccc1Br.Cc1cccc(N)c1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],COC(=O)c1ccccc1Nc1cccc(C)c1
CC(C)(C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2ccc(C(C)(C)C)cc2)cc1
CC(C)(C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)c1ccc(NCc2ccccc2)cc1
COc1ccc(OS(=O)(=O)C(F)(F)F)cc1.Cc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2ccc(C)cc2)cc1
CC(C)(C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.O=P([O-])([O-])[O-].[K+].[K+].[K+],COc1ccc(Nc2ccc(C(C)(C)C)cc2)cc1
CC(C)(C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)c1ccc(NCc2ccccc2)cc1
COc1ccc(OS(=O)(=O)C(F)(F)F)cc1.Nc1ccc([N+](=O)[O-])cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.O=P([O-])([O-])[O-].[K+].[K+].[K+],COc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1
